Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value,Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2009,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,124339089,3890109,,u,9342136,N/A,
2009,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,13174636,518477,,u,383206,N/A,
2009,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,140897125,4408149,,u,15680776,N/A,
2009,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,217366558,16486886,,u,19049083,N/A,
2009,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,531065250,26720377,,u,17277279,N/A,
2009,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,135784112,12305213,,u,12400271,N/A,
2009,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,57486687,2792637,,u,2587467,N/A,
2009,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,15614980,54152,,u,21452,N/A,
2009,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,86368470,4960239,,u,4400959,N/A,
2009,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,783989052,30853276,,u,52445364,N/A,
2009,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,304059183,9512885,,u,3787067,N/A,
2009,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,139963232,5508144,,u,14567913,N/A,
2009,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,19709200,616628,,u,123874,N/A,
2009,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,103521942,4074025,,u,6116344,N/A,
2009,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,4092191,128029,,u,35635,N/A,
2010,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,780417046,52514507,,u,107918358,N/A,
2010,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,501178584,19942161,,u,20137692,u,20137692
2010,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,395020718,37651354,,u,95414357,u,95414357
2010,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,98944235,4171172,,u,6557555,u,6557555
2010,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,117320090,6561006,,u,2904306,u,2904306
2010,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,26952051,1285672,,u,1890174,u,1890174
2010,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,67398646,1138661,,u,844819,u,844819
2010,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,111139558,3174895,,u,1978567,u,1978567
2010,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,445922336,20428833,,u,40929328,N/A,
2010,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,1030129748,39682331,,u,155341770,N/A,
2010,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,71783901,3288602,,u,22804956,N/A,
2010,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,130702238,5987801,,u,5664286,N/A,
2010,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,170644185,6573501,,u,12776064,N/A,
2010,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,27634404,1266002,,u,236248,N/A,
2010,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,213128601,8210072,,u,21758020,N/A,
2010,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,362536660,22986670,,N/A,,N/A,
2010,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,588405402,30632027,,N/A,,N/A,
2010,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,187529059,16721709,,N/A,,N/A,
2010,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,92496776,3883168,,N/A,,N/A,
2010,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,37387308,74097,,N/A,,N/A,
2010,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,179755052,10671340,,N/A,,N/A,
2010,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1220366512,55908083,,u,81715438,N/A,
2010,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,369598261,14237547,,u,4640805,N/A,
2010,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,215000993,9849740,,u,19977841,N/A,
2010,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,27240236,1049340,,u,230414,N/A,
2010,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,174100412,7975981,,u,9349742,N/A,
2010,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,12236383,471366,,u,287708,N/A,
2011,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,971174715,54930903,,u,88340697,u,88340697
2011,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,602099065,22832355,,u,19933873,u,19933873
2011,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,505292573,41908732,,u,71946743,u,71946743
2011,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,119560326,4406132,,u,5175356,u,5175356
2011,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,114228557,3884268,,u,3926042,u,3926042
2011,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,18294603,627321,,u,866472,u,866472
2011,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,89360738,1328792,,u,1740094,u,1740094
2011,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,154959161,4751508,,u,3643432,u,3643432
2011,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,527616477,26772909,,u,47082802,N/A,
2011,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,1304528221,,,u,176782310,N/A,
2011,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,85182505,4322426,,u,27977232,N/A,
2011,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,147494652,7484340,,u,5513656,N/A,
2011,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,219020727,,,u,14038057,N/A,
2011,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,38229220,1939870,,u,192350,N/A,
2011,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,246648199,,,u,23121552,N/A,
2011,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,365564744,22748735,,u,21942115,N/A,
2011,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,583132902,26965650,,u,23417135,N/A,
2011,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,221936495,17486280,,u,15828210,N/A,
2011,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,115182549,4589146,,u,4054135,N/A,
2011,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,22726954,85965,,u,31942,N/A,
2011,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,172787777,8346816,,u,7644000,N/A,
2011,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1480306514,75115378,,u,92177815,N/A,
2011,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,404279256,,,u,5004029,N/A,
2011,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,303081898,15379323,,u,23547025,N/A,
2011,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,28319197,,,u,317249,N/A,
2011,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,193337560,9810552,,u,9272165,N/A,
2011,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,4560125,,,u,41920,N/A,
2012,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,1075488780,59052329,,u,87188531,u,87188531
2012,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,634136476,24044834,,u,20459357,u,20459357
2012,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,539789099,42470701,,u,65869968,u,65869968
2012,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,134531283,4750381,,u,5207732,u,5207732
2012,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,172215333,5916807,,u,4484400,u,4484400
2012,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,15080764,423923,,u,525334,u,525334
2012,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,79129991,1550971,,u,799405,u,799405
2012,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,167480922,5123500,,u,3767360,u,3767360
2012,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,528382992,,,u,46222215,N/A,
2012,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,1459010176,,,u,180791049,N/A,
2012,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,98755429,,,u,28401416,N/A,
2012,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,139203014,,,u,4584451,N/A,
2012,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,229189996,,,u,13940213,N/A,
2012,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,26482050,,,u,204213,N/A,
2012,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,287895961,,,u,25542325,N/A,
2012,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,329940517,21001131,,N/A,,N/A,
2012,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,694835151,30800339,,N/A,,N/A,
2012,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,240294895,17351812,,N/A,,N/A,
2012,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,98742447,3795856,,N/A,,N/A,
2012,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,16944015,68900,,N/A,,N/A,
2012,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,255099398,11600943,,N/A,,N/A,
2012,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1718697625,71528699,,u,105531433,N/A,
2012,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,464196519,,,u,5800353,N/A,
2012,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,382330492,15911817,,u,26300464,N/A,
2012,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,24212852,,,u,356662,N/A,
2012,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,266369677,11085764,,u,14383781,N/A,
2012,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,7616263,,,u,55677,N/A,
2013,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,1135377932,,,u,103665177,N/A,
